File Name,UVLED ID,Average Current (A),Current Standard Deviation (A),UVLED Current Amplitude (mA),UVLED Displacement (m),UVLED Pulse Frequency (Hz),Background Corrected Current (A),Corrected Current Standard Deviation (A),Flux (photons/mm^2),Flux Error
2017-05-18_frequency-60.csv,ID 8 WL=355nm,-3.54166065333e-07,1.89198049668e-10,40.0,close,47500,-1,-1,1036870.9924521263,3722.334701717623
2017-05-18_frequency-61.csv,ID 8 WL=355nm,-1.60755116667e-07,6.78624357719e-11,40.0,close,21250,-1,-1,657235.7841479034,2349.6256362646645
2017-05-18_frequency-62.csv,ID 8 WL=355nm,-3.41484026667e-07,1.5864587763e-10,40.0,close,45750,-1,-1,1019030.772339385,3648.4051900532145
2017-05-18_frequency-63.csv,ID 8 WL=355nm,-1.70123554667e-07,7.49364073391e-11,40.0,close,22500,-1,-1,682649.1487567171,2441.9882575278625
2017-05-18_frequency-64.csv,ID 8 WL=355nm,-9.13443742667e-08,2.59256473618e-11,40.0,close,12000,-1,-1,434106.77708199306,1545.9965259070132
2017-05-18_frequency-65.csv,ID 8 WL=355nm,-1.13966433333e-07,3.98585660666e-11,40.0,close,15000,-1,-1,514515.39078289195,1835.3722268351619
2017-05-18_frequency-66.csv,ID 8 WL=355nm,-1.66463298e-07,5.9670125937e-11,40.0,close,22000,-1,-1,672949.8578383756,2401.1198193789864
2017-05-18_frequency-67.csv,ID 8 WL=355nm,-2.35088165333e-07,9.89155707235e-11,40.0,close,31250,-1,-1,835016.2846683841,2985.056330772532
2017-05-18_frequency-68.csv,ID 8 WL=355nm,-1.10170932667e-07,3.88042068109e-11,40.0,close,14500,-1,-1,501562.93012429203,1789.2907036005943
2017-05-18_frequency-69.csv,ID 8 WL=355nm,-3.06780682e-07,1.49352068201e-10,40.0,close,41000,-1,-1,966061.6792103502,3461.6175046005283
2017-05-18_frequency-70.csv,ID 8 WL=355nm,-2.92024263333e-07,1.26733068779e-10,40.0,close,39000,-1,-1,941499.943159513,3367.207091414242
2017-05-18_frequency-71.csv,ID 8 WL=355nm,-8.7534269e-08,2.86986306003e-11,40.0,close,11500,-1,-1,419683.87046224024,1496.2179985539342
2017-05-18_frequency-72.csv,ID 8 WL=355nm,-1.25129016e-07,4.4892844389e-11,40.0,close,16500,-1,-1,551121.9667766977,1966.449027182705
2017-05-18_frequency-73.csv,ID 8 WL=355nm,-6.67453198667e-08,1.04588584455e-11,40.0,close,8750,-1,-1,336397.2743253713,1195.3731362856556
2017-05-18_frequency-74.csv,ID 8 WL=355nm,-2.2227917e-07,1.04094202688e-10,40.0,close,29500,-1,-1,808076.492311317,2893.524185620625
2017-05-18_frequency-75.csv,ID 8 WL=355nm,-4.01591646667e-08,1.14316976673e-11,40.0,close,5250,-1,-1,216512.89576527098,771.0878479249942
2017-05-18_frequency-76.csv,ID 8 WL=355nm,-1.1561233e-08,2.14418071611e-11,40.0,close,1500,-1,-1,67362.3742239206,269.80419299063817
2017-05-18_frequency-77.csv,ID 8 WL=355nm,-3.14215268667e-07,1.78016877528e-10,40.0,close,42000,-1,-1,978094.3447482032,3516.1740053546223
2017-05-18_frequency-78.csv,ID 8 WL=355nm,-7.42776394667e-08,2.6014752604e-11,40.0,close,9750,-1,-1,367517.07428067643,1311.0197794909511
